FIPS,Name,have_mentalhealth,have_no_mentalhealth,have_no_fruit,have_fruit,have_no_vegetables,have_vegetables,year,p_have_mentalhealth,p_have_no_mentalhealth,p_have_fruit,p_have_no_fruit,p_have_vegetables,p_have_no_vegetables
15,Hawaii,2174,5326,-1,-1,-1,-1,2012,0.28986666666666666,0.7101333333333333,0.5,0.5,0.5,0.5
16,Idaho,1933,3836,-1,-1,-1,-1,2012,0.3350667360027734,0.6649332639972265,0.5,0.5,0.5,0.5
17,Illinois,1923,3631,-1,-1,-1,-1,2012,0.3462369463449766,0.6537630536550234,0.5,0.5,0.5,0.5
18,Indiana,3049,5413,-1,-1,-1,-1,2012,0.3603167099976365,0.6396832900023635,0.5,0.5,0.5,0.5
19,Iowa,1943,5129,-1,-1,-1,-1,2012,0.2747454751131222,0.7252545248868778,0.5,0.5,0.5,0.5
20,Kansas,3168,8465,-1,-1,-1,-1,2012,0.27232872002063097,0.7276712799793691,0.5,0.5,0.5,0.5
21,Kentucky,3888,7110,-1,-1,-1,-1,2012,0.353518821603928,0.646481178396072,0.5,0.5,0.5,0.5
22,Louisiana,2700,6234,-1,-1,-1,-1,2012,0.3022162525184688,0.6977837474815313,0.5,0.5,0.5,0.5
23,Maine,3352,6407,-1,-1,-1,-1,2012,0.3434778153499334,0.6565221846500666,0.5,0.5,0.5,0.5
24,Maryland,3715,8834,-1,-1,-1,-1,2012,0.2960395250617579,0.7039604749382421,0.5,0.5,0.5,0.5
25,Massachusetts,7228,14121,-1,-1,-1,-1,2012,0.3385638671600543,0.6614361328399456,0.5,0.5,0.5,0.5
26,Michigan,3536,6842,-1,-1,-1,-1,2012,0.3407207554442089,0.6592792445557911,0.5,0.5,0.5,0.5
27,Minnesota,3634,8444,-1,-1,-1,-1,2012,0.3008776287464812,0.6991223712535188,0.5,0.5,0.5,0.5
28,Mississippi,2245,5376,-1,-1,-1,-1,2012,0.2945807636793072,0.7054192363206928,0.5,0.5,0.5,0.5
29,Missouri,2040,4609,-1,-1,-1,-1,2012,0.3068130545946759,0.6931869454053241,0.5,0.5,0.5,0.5
30,Montana,2710,5824,-1,-1,-1,-1,2012,0.317553316147176,0.682446683852824,0.5,0.5,0.5,0.5
31,Nebraska,5412,13523,-1,-1,-1,-1,2012,0.28581991021917086,0.7141800897808291,0.5,0.5,0.5,0.5
32,Nevada,1658,3101,-1,-1,-1,-1,2012,0.3483925194368565,0.6516074805631435,0.5,0.5,0.5,0.5
33,New Hampshire,2319,5105,-1,-1,-1,-1,2012,0.31236530172413796,0.6876346982758621,0.5,0.5,0.5,0.5
34,New Jersey,4574,10828,-1,-1,-1,-1,2012,0.2969744189066355,0.7030255810933645,0.5,0.5,0.5,0.5
35,New Mexico,2870,5804,-1,-1,-1,-1,2012,0.3308738759511183,0.6691261240488817,0.5,0.5,0.5,0.5
36,New York,2135,3765,-1,-1,-1,-1,2012,0.36186440677966103,0.638135593220339,0.5,0.5,0.5,0.5
37,North Carolina,3504,8178,-1,-1,-1,-1,2012,0.29994863893168977,0.7000513610683102,0.5,0.5,0.5,0.5
38,North Dakota,1387,3389,-1,-1,-1,-1,2012,0.2904103852596315,0.7095896147403685,0.5,0.5,0.5,0.5
39,Ohio,4120,8667,-1,-1,-1,-1,2012,0.3222022366465942,0.6777977633534058,0.5,0.5,0.5,0.5
40,Oklahoma,2529,5378,-1,-1,-1,-1,2012,0.31984317693183256,0.6801568230681675,0.5,0.5,0.5,0.5
41,Oregon,1834,3362,-1,-1,-1,-1,2012,0.35296381832178597,0.647036181678214,0.5,0.5,0.5,0.5
42,Pennsylvania,6351,13185,-1,-1,-1,-1,2012,0.32509213759213756,0.6749078624078624,0.5,0.5,0.5,0.5
44,Rhode Island,1860,3531,-1,-1,-1,-1,2012,0.34501947690595436,0.6549805230940456,0.5,0.5,0.5,0.5
45,South Carolina,3946,8552,-1,-1,-1,-1,2012,0.3157305168827012,0.6842694831172987,0.5,0.5,0.5,0.5
46,South Dakota,2006,5743,-1,-1,-1,-1,2012,0.2588721125306491,0.7411278874693509,0.5,0.5,0.5,0.5
47,Tennessee,1932,4976,-1,-1,-1,-1,2012,0.2796757382744644,0.7203242617255357,0.5,0.5,0.5,0.5
48,Texas,2853,6080,-1,-1,-1,-1,2012,0.31937758871599686,0.6806224112840031,0.5,0.5,0.5,0.5
49,Utah,4266,7952,-1,-1,-1,-1,2012,0.3491569815027009,0.6508430184972991,0.5,0.5,0.5,0.5
50,Vermont,1969,4005,-1,-1,-1,-1,2012,0.32959491128222296,0.670405088717777,0.5,0.5,0.5,0.5
51,Virginia,2005,5241,-1,-1,-1,-1,2012,0.2767043886282087,0.7232956113717913,0.5,0.5,0.5,0.5
53,Washington,5249,9875,-1,-1,-1,-1,2012,0.347064268711981,0.6529357312880191,0.5,0.5,0.5,0.5
54,West Virginia,1677,3649,-1,-1,-1,-1,2012,0.3148704468644386,0.6851295531355613,0.5,0.5,0.5,0.5
55,Wisconsin,1655,3582,-1,-1,-1,-1,2012,0.31602062249379415,0.6839793775062059,0.5,0.5,0.5,0.5
56,Wyoming,1776,4401,-1,-1,-1,-1,2012,0.2875182127246236,0.7124817872753764,0.5,0.5,0.5,0.5
66,Guam,560,1429,-1,-1,-1,-1,2012,0.2815485168426345,0.7184514831573655,0.5,0.5,0.5,0.5
72,Puerto Rico,1353,4883,-1,-1,-1,-1,2012,0.21696600384862091,0.7830339961513791,0.5,0.5,0.5,0.5
1,Alabama,2592,4967,388,7014,634,6779,2011,0.34290250033073155,0.6570974996692684,0.9475817346663064,0.0524182653336936,0.9144745716983678,0.08552542830163226
2,Alaska,1079,2343,108,3234,202,3136,2011,0.31531268264172996,0.68468731735827,0.9676840215439856,0.03231597845601436,0.9394847213900539,0.06051527860994608
4,Arizona,2106,4305,211,5998,395,5793,2011,0.3284978942442677,0.6715021057557323,0.9660170719922693,0.033982928007730714,0.9361667744020685,0.06383322559793148
5,Arkansas,1526,3091,221,4252,436,4015,2011,0.33051765215507906,0.669482347844921,0.95059244355019,0.04940755644980997,0.9020444843855313,0.09795551561446866
6,California,6449,11453,422,16049,709,15697,2011,0.36023907943246564,0.6397609205675343,0.9743792119482727,0.025620788051727277,0.9567841033768134,0.04321589662318664
8,Colorado,4103,9255,305,12435,769,11948,2011,0.3071567599940111,0.692843240005989,0.9760596546310832,0.023940345368916798,0.9395297633089565,0.06047023669104348
9,Connecticut,2246,4497,244,6372,332,6275,2011,0.3330861634287409,0.6669138365712591,0.9631197097944377,0.03688029020556227,0.9497502648705918,0.0502497351294082
10,Delaware,1391,3357,178,4527,242,4459,2011,0.29296545914069083,0.7070345408593092,0.9621679064824654,0.03783209351753454,0.948521591150819,0.05147840884918103
11,District of Columbia,1417,3077,157,4217,112,4258,2011,0.3153093012906097,0.6846906987093903,0.964106081390032,0.03589391860996799,0.974370709382151,0.02562929061784897
12,Florida,3909,8113,488,11167,781,10838,2011,0.3251538845450008,0.6748461154549992,0.9581295581295581,0.04187044187044187,0.9327825114037352,0.06721748859626474
13,Georgia,2849,6818,423,8973,659,8753,2011,0.2947139753801593,0.7052860246198407,0.9549808429118773,0.045019157088122604,0.9299830004249894,0.07001699957501062
15,Hawaii,2081,5453,246,7165,341,7046,2011,0.27621449429254047,0.7237855057074595,0.9668060990419647,0.03319390095803535,0.9538378232029241,0.046162176797075946
16,Idaho,1990,3990,160,5644,437,5344,2011,0.33277591973244147,0.6672240802675585,0.972432804962095,0.027567195037904894,0.9244075419477599,0.0755924580522401
17,Illinois,1973,3465,182,5143,405,4903,2011,0.36281721221037144,0.6371827877896286,0.9658215962441314,0.034178403755868544,0.9237000753579503,0.07629992464204974
18,Indiana,2786,5463,346,7710,722,7315,2011,0.3377379076251667,0.6622620923748334,0.9570506454816285,0.0429493545183714,0.9101654846335697,0.08983451536643026
19,Iowa,1922,5323,197,6847,803,6214,2011,0.2652864044168392,0.7347135955831609,0.9720329358319136,0.027967064168086316,0.8855636311814166,0.11443636881858343
