FIPS,Name,have_mentalhealth,have_no_mentalhealth,have_no_alcohol,have_alcohol,no_smoker,smoker,year,p_have_mentalhealth,p_have_no_mentalhealth,p_have_alcohol,p_have_no_alcohol,p_smoker,p_no_smoker
49,Utah,4266,7952,8880,3211,11153,1050,2012,0.3491569815027009,0.6508430184972991,0.2655694318087834,0.7344305681912167,0.08604441530771122,0.9139555846922888
50,Vermont,1969,4005,2207,3696,5159,798,2012,0.32959491128222296,0.670405088717777,0.6261223106894799,0.37387768931052007,0.13396004700352526,0.8660399529964747
51,Virginia,2005,5241,3397,3641,6059,1095,2012,0.2767043886282087,0.7232956113717913,0.517334470019892,0.482665529980108,0.15306122448979592,0.8469387755102041
53,Washington,5249,9875,6134,8856,13133,2040,2012,0.347064268711981,0.6529357312880191,0.5907938625750501,0.40920613742495,0.13444935082053647,0.8655506491794636
54,West Virginia,1677,3649,3790,1530,4103,1287,2012,0.3148704468644386,0.6851295531355613,0.287593984962406,0.7124060150375939,0.23877551020408164,0.7612244897959184
55,Wisconsin,1655,3582,1972,3083,4221,912,2012,0.31602062249379415,0.6839793775062059,0.609891196834817,0.390108803165183,0.1776738749269433,0.8223261250730567
56,Wyoming,1776,4401,3049,3007,5212,947,2012,0.2875182127246236,0.7124817872753764,0.49653236459709377,0.5034676354029062,0.15375872706608215,0.8462412729339178
66,Guam,560,1429,1192,733,1521,460,2012,0.2815485168426345,0.7184514831573655,0.3807792207792208,0.6192207792207792,0.23220595658758203,0.767794043412418
72,Puerto Rico,1353,4883,4455,1685,5664,618,2012,0.21696600384862091,0.7830339961513791,0.2744299674267101,0.7255700325732899,0.09837631327602674,0.9016236867239733
1,Alabama,2592,4967,4748,2417,6170,1490,2011,0.34290250033073155,0.6570974996692684,0.33733426378227493,0.6626657362177251,0.19451697127937337,0.8054830287206266
2,Alaska,1079,2343,1382,1844,2770,743,2011,0.31531268264172996,0.68468731735827,0.5716057036577805,0.4283942963422195,0.21150014232849418,0.7884998576715059
4,Arizona,2106,4305,2882,3141,5412,1023,2011,0.3284978942442677,0.6715021057557323,0.5215009131661963,0.47849908683380377,0.15897435897435896,0.841025641025641
5,Arkansas,1526,3091,2848,1495,3786,928,2011,0.33051765215507906,0.669482347844921,0.3442320976283675,0.6557679023716325,0.19686041578277472,0.8031395842172253
6,California,6449,11453,6723,9081,15933,2052,2011,0.36023907943246564,0.6397609205675343,0.5746013667425968,0.4253986332574032,0.11409507923269391,0.8859049207673061
8,Colorado,4103,9255,4919,7572,11553,1963,2011,0.3071567599940111,0.692843240005989,0.6061964614522456,0.3938035385477544,0.14523527670908554,0.8547647232909145
9,Connecticut,2246,4497,2302,4095,5834,958,2011,0.3330861634287409,0.6669138365712591,0.640143817414413,0.359856182585587,0.14104829210836278,0.8589517078916372
10,Delaware,1391,3357,2023,2599,3923,839,2011,0.29296545914069083,0.7070345408593092,0.5623106880138469,0.4376893119861532,0.1761864762704746,0.8238135237295254
11,District of Columbia,1417,3077,1526,2690,3828,690,2011,0.3153093012906097,0.6846906987093903,0.638045540796964,0.36195445920303604,0.15272244355909695,0.8472775564409031
12,Florida,3909,8113,5388,5712,10240,2080,2011,0.3251538845450008,0.6748461154549992,0.5145945945945946,0.4854054054054054,0.16883116883116883,0.8311688311688312
13,Georgia,2849,6818,5207,4005,8290,1612,2011,0.2947139753801593,0.7052860246198407,0.43475900998697353,0.5652409900130265,0.16279539486972328,0.8372046051302767
