FIPS,Name,have_mentalhealth,have_no_mentalhealth,no_highschool,highschool,year,p_have_mentalhealth,p_have_no_mentalhealth,p_highschool,p_no_highschool
53,Washington,3742,7276,581,10554,2013,0.33962606643673987,0.6603739335632601,0.9478221823080377,0.05217781769196228
54,West Virginia,1835,3963,749,5134,2013,0.3164884442911349,0.6835115557088651,0.8726840047594765,0.12731599524052353
55,Wisconsin,2096,4429,405,6131,2013,0.32122605363984674,0.6787739463601532,0.9380354957160343,0.06196450428396573
56,Wyoming,1744,4612,331,6103,2013,0.27438640654499685,0.7256135934550031,0.948554553932235,0.051445446067765
66,Guam,616,1263,217,1680,2013,0.32783395423097395,0.672166045769026,0.8856088560885609,0.11439114391143912
72,Puerto Rico,1402,4557,1374,4626,2013,0.23527437489511663,0.7647256251048834,0.771,0.229
1,Alabama,3217,5606,1249,7758,2012,0.36461521024594806,0.6353847897540519,0.8613300766070834,0.13866992339291662
2,Alaska,1250,3005,303,4030,2012,0.2937720329024677,0.7062279670975323,0.9300715439649204,0.06992845603507962
4,Arizona,2281,4907,658,6617,2012,0.3173344462993879,0.6826655537006121,0.909553264604811,0.090446735395189
5,Arkansas,1755,3305,691,4481,2012,0.3468379446640316,0.6531620553359684,0.8663959783449343,0.13360402165506574
6,California,5223,9272,1758,12591,2012,0.36033114867195587,0.6396688513280442,0.8774827514112482,0.12251724858875183
8,Colorado,3921,8180,765,11442,2012,0.324022808032394,0.675977191967606,0.9373310395674613,0.06266896043253871
9,Connecticut,2873,5759,558,8186,2012,0.3328313253012048,0.6671686746987951,0.9361848124428179,0.06381518755718207
10,Delaware,1581,3561,336,4831,2012,0.3074679113185531,0.6925320886814469,0.9349719372943681,0.0650280627056319
11,District of Columbia,1164,2576,264,3543,2012,0.31122994652406416,0.6887700534759358,0.9306540583136328,0.06934594168636722
12,Florida,2421,4993,666,6922,2012,0.32654437550579984,0.6734556244942002,0.9122298365840801,0.08777016341591988
13,Georgia,1802,4194,787,5270,2012,0.3005336891260841,0.699466310873916,0.8700676902757141,0.12993230972428596
15,Hawaii,2174,5326,313,7260,2012,0.28986666666666666,0.7101333333333333,0.9586689554998019,0.041331044500198075
16,Idaho,1933,3836,438,5442,2012,0.3350667360027734,0.6649332639972265,0.9255102040816326,0.07448979591836735
17,Illinois,1923,3631,364,5214,2012,0.3462369463449766,0.6537630536550234,0.9347436357117246,0.06525636428827537
18,Indiana,3049,5413,849,7776,2012,0.3603167099976365,0.6396832900023635,0.9015652173913044,0.09843478260869565
19,Iowa,1943,5129,495,6658,2012,0.2747454751131222,0.7252545248868778,0.9307982664616244,0.06920173353837551
20,Kansas,3168,8465,726,11055,2012,0.27232872002063097,0.7276712799793691,0.938375350140056,0.06162464985994398
21,Kentucky,3888,7110,1418,9749,2012,0.353518821603928,0.646481178396072,0.8730187158592281,0.12698128414077192
22,Louisiana,2700,6234,1358,7690,2012,0.3022162525184688,0.6977837474815313,0.8499115826702034,0.15008841732979664
23,Maine,3352,6407,536,9368,2012,0.3434778153499334,0.6565221846500666,0.9458804523424879,0.05411954765751212
24,Maryland,3715,8834,869,11869,2012,0.2960395250617579,0.7039604749382421,0.9317789291882557,0.06822107081174439
25,Massachusetts,7228,14121,1905,19605,2012,0.3385638671600543,0.6614361328399456,0.9114365411436541,0.08856345885634588
26,Michigan,3536,6842,670,9809,2012,0.3407207554442089,0.6592792445557911,0.9360626013932627,0.06393739860673728
27,Minnesota,3634,8444,578,11588,2012,0.3008776287464812,0.6991223712535188,0.9524905474272563,0.047509452572743714
28,Mississippi,2245,5376,1323,6446,2012,0.2945807636793072,0.7054192363206928,0.8297078131033595,0.1702921868966405
29,Missouri,2040,4609,719,6024,2012,0.3068130545946759,0.6931869454053241,0.8933709031588314,0.10662909684116861
30,Montana,2710,5824,620,8037,2012,0.317553316147176,0.682446683852824,0.928381656462978,0.07161834353702207
31,Nebraska,5412,13523,1305,17834,2012,0.28581991021917086,0.7141800897808291,0.9318146193636031,0.06818538063639688
32,Nevada,1658,3101,447,4390,2012,0.3483925194368565,0.6516074805631435,0.9075873475294605,0.09241265247053959
33,New Hampshire,2319,5105,406,7108,2012,0.31236530172413796,0.6876346982758621,0.9459675272824062,0.05403247271759382
34,New Jersey,4574,10828,1205,14393,2012,0.2969744189066355,0.7030255810933645,0.9227465059623029,0.07725349403769714
35,New Mexico,2870,5804,1053,7691,2012,0.3308738759511183,0.6691261240488817,0.8795745654162854,0.12042543458371455
36,New York,2135,3765,520,5513,2012,0.36186440677966103,0.638135593220339,0.9138073926736284,0.08619260732637163
37,North Carolina,3504,8178,1504,10352,2012,0.29994863893168977,0.7000513610683102,0.873144399460189,0.12685560053981107
38,North Dakota,1387,3389,339,4534,2012,0.2904103852596315,0.7095896147403685,0.9304329981530884,0.06956700184691156
39,Ohio,4120,8667,1029,11933,2012,0.3222022366465942,0.6777977633534058,0.9206141027619195,0.07938589723808054
40,Oklahoma,2529,5378,952,7055,2012,0.31984317693183256,0.6801568230681675,0.881104033970276,0.11889596602972399
41,Oregon,1834,3362,310,4972,2012,0.35296381832178597,0.647036181678214,0.9413101098068913,0.05868989019310867
42,Pennsylvania,6351,13185,1461,18456,2012,0.32509213759213756,0.6749078624078624,0.926645579153487,0.07335442084651303
44,Rhode Island,1860,3531,490,4971,2012,0.34501947690595436,0.6549805230940456,0.9102728438015015,0.08972715619849844
45,South Carolina,3946,8552,1594,11162,2012,0.3157305168827012,0.6842694831172987,0.8750391972405143,0.12496080275948573
46,South Dakota,2006,5743,609,7255,2012,0.2588721125306491,0.7411278874693509,0.922558494404883,0.07744150559511699
47,Tennessee,1932,4976,925,6096,2012,0.2796757382744644,0.7203242617255357,0.8682523857000427,0.13174761429995727
48,Texas,2853,6080,1356,7742,2012,0.31937758871599686,0.6806224112840031,0.850956254121785,0.149043745878215
49,Utah,4266,7952,649,11743,2012,0.3491569815027009,0.6508430184972991,0.9476275016139445,0.05237249838605552
