FIPS,Name,have_mentalhealth,have_no_mentalhealth,no_workout,workout,year,p_have_mentalhealth,p_have_no_mentalhealth,p_workout,p_no_workout
6,California,4477,8022,2111,8793,2015,0.3581886550924074,0.6418113449075926,0.8064013206162876,0.1935986793837124
8,Colorado,4322,8977,2215,9577,2015,0.3249868411158734,0.6750131588841266,0.8121607869742198,0.1878392130257802
9,Connecticut,3789,7943,2475,8106,2015,0.322962836685987,0.677037163314013,0.7660901616104338,0.2339098383895662
10,Delaware,1154,2844,1148,2626,2015,0.28864432216108055,0.7113556778389195,0.6958134605193429,0.3041865394806571
11,District of Columbia,1109,2804,744,2797,2015,0.28341426015844623,0.7165857398415538,0.789889861621011,0.21011013837898898
12,Florida,2894,6607,2265,6421,2015,0.3045995158404379,0.6954004841595621,0.7392355514621229,0.26076444853787706
13,Georgia,1352,3225,1227,2998,2015,0.29538999344548833,0.7046100065545117,0.709585798816568,0.290414201183432
15,Hawaii,2037,5085,1437,5064,2015,0.2860151642796967,0.7139848357203032,0.7789570835256114,0.22104291647438856
16,Idaho,1860,3840,1255,4105,2015,0.3263157894736842,0.6736842105263158,0.7658582089552238,0.23414179104477612
17,Illinois,1888,3346,1288,3636,2015,0.3607183798242262,0.6392816201757738,0.7384240454914703,0.26157595450852966
18,Indiana,1939,4011,1639,3914,2015,0.32588235294117646,0.6741176470588235,0.7048442283450387,0.29515577165496126
19,Iowa,1687,4442,1596,4151,2015,0.27524881709903737,0.7247511829009626,0.7222898903775883,0.2777101096224117
20,Kansas,6212,16644,5698,15153,2015,0.2717885894294715,0.7282114105705285,0.7267277348808211,0.27327226511917896
21,Kentucky,2787,5864,2765,5305,2015,0.32215928794359033,0.6778407120564096,0.6573729863692689,0.3426270136307311
22,Louisiana,1529,3102,1457,2779,2015,0.33016627078384797,0.669833729216152,0.6560434372049103,0.3439565627950897
23,Maine,2908,5996,2131,6397,2015,0.3265947888589398,0.6734052111410602,0.7501172607879925,0.24988273921200752
24,Maryland,3577,8805,3006,8387,2015,0.2888870941689549,0.711112905831045,0.7361537786360046,0.26384622136399544
25,Massachusetts,3149,5935,2116,5989,2015,0.34665345662703656,0.6533465433729635,0.7389265885256014,0.2610734114743985
26,Michigan,3000,5834,2034,6357,2015,0.3395970115462984,0.6604029884537016,0.7575974258133714,0.24240257418662853
27,Minnesota,4725,11805,3432,12197,2015,0.28584392014519056,0.7141560798548094,0.7804082154968328,0.2195917845031672
28,Mississippi,1642,4287,2235,3480,2015,0.2769438353853938,0.7230561646146062,0.6089238845144357,0.3910761154855643
29,Missouri,2201,4989,2048,4803,2015,0.30611961057023646,0.6938803894297636,0.7010655378776821,0.2989344621223179
30,Montana,1639,4321,1445,4312,2015,0.275,0.725,0.7490012159110648,0.2509987840889352
31,Nebraska,4588,12781,4607,11712,2015,0.26414877079854915,0.7358512292014509,0.7176910349898891,0.28230896501011093
32,Nevada,986,1885,668,2070,2015,0.3434343434343434,0.6565656565656566,0.7560262965668371,0.24397370343316288
33,New Hampshire,2007,4893,1527,4867,2015,0.2908695652173913,0.7091304347826087,0.7611823584610572,0.23881764153894275
34,New Jersey,3200,8032,2889,7597,2015,0.2849002849002849,0.7150997150997151,0.7244897959183674,0.2755102040816326
35,New Mexico,2062,4589,1502,4618,2015,0.310028567132762,0.689971432867238,0.7545751633986928,0.24542483660130718
36,New York,4015,8021,3125,7844,2015,0.33358258557660353,0.6664174144233965,0.7151062084055064,0.2848937915944936
37,North Carolina,1970,4638,1671,4607,2015,0.2981234866828087,0.7018765133171913,0.7338324307104174,0.2661675692895827
38,North Dakota,1363,3519,1305,3328,2015,0.2791888570258091,0.7208111429741909,0.7183250593567883,0.28167494064321175
39,Ohio,3558,8143,3281,7682,2015,0.30407657465173915,0.6959234253482608,0.7007206056736295,0.2992793943263705
40,Oklahoma,2025,4816,2246,4235,2015,0.2960093553574039,0.7039906446425961,0.6534485418916833,0.3465514581083166
41,Oregon,1936,3304,876,3943,2015,0.36946564885496186,0.6305343511450382,0.8182195476239884,0.18178045237601162
42,Pennsylvania,1897,3749,1439,3826,2015,0.33599008147360965,0.6640099185263904,0.7266856600189934,0.2733143399810066
44,Rhode Island,1960,4107,1534,3964,2015,0.32305917257293554,0.6769408274270644,0.7209894507093488,0.27901054929065117
45,South Carolina,3602,7746,2978,7797,2015,0.3174127599577018,0.6825872400422982,0.7236194895591648,0.2763805104408353
46,South Dakota,1792,5327,1597,5263,2015,0.25172074729596855,0.7482792527040315,0.7672011661807581,0.232798833819242
47,Tennessee,1842,4024,1710,3679,2015,0.31401295601772927,0.6859870439822707,0.6826869549081462,0.31731304509185376
48,Texas,3943,10420,4031,8907,2015,0.2745248207199053,0.7254751792800946,0.6884371618488174,0.3115628381511826
49,Utah,4079,7167,2228,8381,2015,0.36270674017428417,0.6372932598257158,0.7899896314449996,0.21001036855500047
50,Vermont,1962,4430,1277,4729,2015,0.3069461827284105,0.6930538172715894,0.7873792873792874,0.2126207126207126
